"Salary","NBA_DraftNumber","Age","MP","PER","TS%","DRB%","VORP","G","OBPM","DBPM","BPM","OWS","DWS","WS","AST%","STL%"
23.3113869938802,23,20,1389,9.5,0.575,9.9,0.8,70,0,0.3,0.3,1.1,1.5,2.6,5.2,1.8
22.7457151748372,46,24,1003,8.4,0.496,10.8,-0.3,66,-2.5,-0.5,-3,-0.6,1.1,0.5,11.5,1.6
27.5319971658193,9,22,875,12.8,0.509,30.1,-0.2,54,-3.4,0.3,-3.1,0.5,1.2,1.7,5.7,1.1
36.2568391201879,16,27,1619,19.7,0.536,27.6,1.9,54,0.6,2,2.6,1.3,2.2,3.5,19.3,1.6
36.4183447559176,23,26,1352,17.8,0.567,24,0.7,51,0.9,-0.8,0.1,1.6,1.5,3.2,8.7,1.4
22.7457151748372,41,22,2288,24.4,0.607,27.7,5.1,71,4.8,2.1,6.9,7.3,2.6,9.9,29.2,1.8
28.0370229421181,8,24,459,9.1,0.554,12.6,-0.2,37,-2,-1.8,-3.9,0.1,0.2,0.3,10.1,0.8
12.3651486743296,62,23,60,2.4,0.362,8,-0.1,6,-6,-4.1,-10,-0.2,0,-0.2,11,0
22.1814498023565,62,24,10,-4.6,0,33.5,0,4,-13.8,-4.8,-18.6,0,0,0,0,0
41.4193054555242,25,29,1918,14.3,0.518,13.8,1.6,61,0.8,0.4,1.2,1.6,1.7,3.3,26,1.6
30.0174385631795,16,32,1307,10.1,0.562,7.5,-0.5,76,-0.2,-3.4,-3.7,0.7,0.9,1.6,3.5,1.3
25.1630343276141,12,37,72,13.8,0.666,20.7,-0.1,13,-3.2,-2.8,-6,0.1,0,0.1,8.6,0
28.6307232644307,6,23,472,16.2,0.558,29.1,0.4,30,-3.4,4.6,1.2,0.4,1,1.3,6.3,3.3
27.484099869772,7,35,732,17,0.604,18.5,0.3,50,-1.2,0.6,-0.6,1.6,1,2.6,9.6,1.8
28.2651527526567,35,29,1286,12.9,0.598,19.1,0.8,63,0.8,-0.2,0.6,1.7,1,2.7,8.6,1.7
12.3651486743296,62,24,1,134.1,1.5,0,0,1,68.7,-14.3,54.4,0.1,0,0.1,0,0
10.8086984561964,38,26,19,-2.9,0.167,5.9,-0.1,5,-10.3,-2.2,-12.5,-0.1,0,-0.1,7.1,0
25.7147503838862,11,21,1761,17.6,0.581,20.1,1.5,61,-0.6,1.9,1.4,2.6,2.5,5,7.2,1.1
22.7457151748372,32,24,1190,24.9,0.656,17.1,1.3,72,2.4,-0.1,2.3,4.1,1.2,5.3,9.2,1.3
35.0478713325972,62,32,159,13.5,0.623,14.8,0,10,1.6,-3.3,-1.7,0.2,0.1,0.3,9.5,1.3
26.653895387537,62,28,2,-41.1,0,0,0,1,-36.5,-12.7,-49.2,0,0,0,0,0
30.9879805771199,62,30,1134,11.7,0.564,10.5,0.2,45,0.7,-2,-1.3,0.9,0.5,1.4,26.2,1
36.4183447559176,26,29,888,10.7,0.57,18.5,-0.1,52,-3.9,1.4,-2.5,0.1,0.7,0.8,7.3,0.9
23.5089551232919,43,29,1320,13.7,0.608,15.8,-0.1,72,-0.4,-1.7,-2.2,1.4,1,2.3,8.9,0.8
29.769627533783,44,26,984,14.6,0.599,18.3,0.6,50,0,0.2,0.2,1.4,0.9,2.3,7,1.5
12.2263981869202,62,27,687,13.9,0.469,12.2,-0.1,36,-0.8,-1.8,-2.7,-0.1,0.3,0.2,29.5,2
